LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=c8c02d6751fce8a8,Python 경력 정규직,브라이트컨설팅 서울 강남구,,브라이트컨설팅 Python 경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [자격요건] 경력사항: 경력(7년 이상 12년 이하) 학력사항: 학력무관 0 명 근무조건 고용형태: 정규직(수습기간3개월) 급여조건…
https://kr.indeed.com/viewjob?jk=b836cc551f8d1692,[EY컨설팅] 컨설팅본부 Data & Analytics팀 인턴 모집,EY 4.0 대한민국,,". EY는 전 세계 153개 국가에 걸쳐 284,000명의 회계감사, 세무, 재무자문, 컨설팅 서비스 전문가들이 활동하고 있는 회계 컨설팅 분야의 글로벌 리더입니다. EY 한영은 EY 글로벌 조직의 한국 회원법인 중…"
https://kr.indeed.com/viewjob?jk=92a3c458d76803d2,[진행중]우리은행 마이데이터ACT 전문직 (데이터 사이언티스트(데이터 분...,우리은행 4.5 서울 회현동,,소개 우리은행 MyDataACT에서 역량있는 「데이터 사이언티스트(데이터 분석가)」전문인력을 모집합니다. 채용내용 모집부문 : 데이터 사이언티스트(데이터 분석가) 모집인원 : 0명 근무장소 : 우리은행…
https://kr.indeed.com/viewjob?jk=a6357089799f9975,Deep Learning R&D Engineer,Intel 4.1 서울,,Job Description Intel Eadge.AI team in Korea is looking for a Deep Learning R&D Engineer. This position requires…
https://kr.indeed.com/viewjob?jk=9a818d9d91db847d,Data Analytics SA,Amazon Web Services Korea LLC 서울,,"· Background in any of the following: Data Warehousing, Big Data, Hadoop ecosystems, Business Intelligence, Streaming…"
https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e,기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스 서울 관악구,,"• 서울대학교 컴퓨터공학부 바이오지능연구실(http://bi.snu.ac.kr)의 스핀오프 스타트업 • 시각지능과 언어지능의 통합 지능 기술을 연구개발하며, 인공지능 응용 시스템의 구축을 가속하는 통합 솔루션을 개발…"
https://kr.indeed.com/viewjob?jk=b4443754bb4507bb,21년 BigData/연구소 경력사원,롯데정보통신 서울 금천구,,"응시자격 해외 여행 및 건강상 결격 사유가 없는 분 남성의 경우, 군필 혹은 면제자 외 국가유공자 국가보훈대상자 및 장애인은 관련 법규에 의거 우대함 4년제 학사 학위 보유 필수 모집부문 세부 모집요강 참조 BigData…"
https://kr.indeed.com/viewjob?jk=2b09f13b5790dd69,2021년 한화시스템 방산부문 프로젝트/기간제 엔지니어 채용(상시),한화그룹 4.2 서울,,"레이다-체계A 계약기간 : 입사 시 ~ 2026.12.31(변동가능) [직무 내용] 레이다 체계 종합 [자격 요건] 전공 : 전자/제어/컴퓨터공학 학사 이상 경력 - 전기, 전자 및 컴퓨터 전공자 - 매트랩 사용…"
https://kr.indeed.com/viewjob?jk=dfe4f3638b0d10d2,블록체인 센터 백엔드 개발자 (경력),네오위즈 대한민국,,"네오플라이 소개 네오플라이는 네오위즈 그룹의 블록체인 기술개발사 입니다. 네오플라이는 한국에서 스타트업 엑셀러레이터로 알려져 있지만, 지난 2017년부터 블록체인 센터를 중심으로 블록체인 기술을 연구&개발하는 동시에…"
https://kr.indeed.com/viewjob?jk=536fd2d0958417eb,[기업부설연구소] SW 개발 정규직,다스코포레이션 경상북도 구미,"연봉 22,000,000원 - 30,000,000원","[직무내용] 주업무 1. 소프트웨어 개발 (java, python, C++, Android, C#, IOS, PHP, ASP 등) - 연구개발 과제 프로그램 개발 - 지역과제 프로그램 개발 [근무시간 및 형태] 주 5일…"
